index	word	Adaptation	Mitigation	Non-climate
137	events	0.4197686	0.16442269	0.4158087
138	such	0.3731741	0.19329233	0.43353355
139	heatwaves	0.41363868	0.16765565	0.4187057
140	locations	0.4119478	0.17971736	0.40833485
141	time	0.33092454	0.15978618	0.5092893
142	ipcc	0.36734995	0.20660786	0.4260422
143	continuing	0.3082461	0.19156608	0.50018775
144	sea	0.3902168	0.19199887	0.41778427
145	level	0.38259882	0.19987383	0.4175274
146	rise	0.4196513	0.16729686	0.4130518
147	europe	0.31149104	0.22312877	0.4653802
148	changing	0.42096162	0.16550943	0.41352895
149	conditions	0.37765485	0.15844205	0.463903
150	mean	0.31117216	0.19158189	0.49724597
151	risen	0.36286476	0.22449061	0.41264462
152	much	0.3065896	0.19792177	0.49548858
153	generally	0.39846405	0.16825542	0.43328047
154	initially	0.3838229	0.2070035	0.4091736
155	can	0.2956332	0.19090688	0.5134599
156	expect	0.2704466	0.19007973	0.5394737
157	experience	0.29192203	0.16619879	0.5418792
158	parts	0.35628995	0.16492662	0.47878334
159	projected	0.41545558	0.17148024	0.41306424
160	bring	0.31078717	0.22721405	0.4619988
161	mixed	0.3748475	0.21081333	0.4143392
162	effects	0.40889066	0.17327116	0.4178382
163	following	0.3680829	0.21874194	0.41317514
164	often	0.30739254	0.16772789	0.52487963
165	future	0.40553656	0.18428105	0.41018236
166	including	0.32353154	0.17582285	0.5006456
167	benefits	0.38230297	0.16005214	0.45764494
168	reduced	0.39483443	0.19109607	0.41406953
169	demand	0.35191986	0.22083284	0.42724738
170	heating	0.32814994	0.23278163	0.43906844
171	crop	0.38531107	0.2090214	0.4056675
172	yields	0.4233139	0.16218047	0.4145057
173	forest	0.38889855	0.21625413	0.39484736
174	growth	0.30926237	0.14717215	0.54356545
175	raised	0.3234172	0.15096678	0.52561605
176	provide	0.29638556	0.1650646	0.5385498
177	tourism	0.42087388	0.16238555	0.4167406
178	opportunities	0.4141151	0.16962503	0.41625983
179	many	0.36497915	0.15723601	0.47778478
180	continues	0.41079924	0.19464788	0.39455292
181	negative	0.38971853	0.19104436	0.41923708
182	floods	0.42237175	0.16554275	0.41208547
183	endangered	0.394978	0.18208782	0.4229342
184	ecosystems	0.41540343	0.16423973	0.42035687
185	increasing	0.38939813	0.15750234	0.4530996
186	ground	0.3365351	0.23256415	0.43090072
187	instability	0.31629604	0.23895007	0.44475394
188	outweigh	0.30456796	0.16355129	0.53188074
189	overall	0.31790373	0.2262139	0.45588228
190	there	0.36855876	0.16335426	0.46808696
191	positive	0.33467227	0.15127419	0.5140536
192	aspect	0.31535262	0.16402565	0.5206218
193	economy	0.31975675	0.23342746	0.44681582
194	environment	0.42015016	0.16704555	0.41280425
195	series	0.40453744	0.1525592	0.4429033
196	regional	0.3897333	0.20743258	0.40283412
197	scoping	0.371899	0.22068092	0.40742007
198	studies	0.37158582	0.15668395	0.47173023
199	been	0.36040357	0.19242519	0.4471713
200	undertaken	0.40243772	0.17527549	0.42228684
201	supported	0.2842398	0.18422876	0.5315314
202	identified	0.41384694	0.16516614	0.42098686
203	range	0.38757908	0.20721075	0.4052101
204	transport	0.3255472	0.23324622	0.44120654
205	risk	0.41374722	0.1666491	0.41960362
206	disruption	0.42114696	0.16339727	0.41545576
207	cold	0.407916	0.16071838	0.4313656
208	fog	0.41871774	0.163792	0.41749018
209	pressure	0.41169152	0.16446593	0.42384252
210	infrastructure	0.41449067	0.17167422	0.41383508
211	due	0.4120742	0.16616139	0.42176443
212	heat	0.3254425	0.23409927	0.44045824
213	patterns	0.38311678	0.15981396	0.45706934
214	damage	0.4193545	0.16673361	0.41391188
215	ecosystem	0.3951856	0.18015297	0.42466137
216	services	0.3543478	0.14578335	0.49986878
217	loss	0.41064343	0.16804883	0.42130765
218	carbon	0.3248975	0.2376885	0.437414
219	storage	0.32379654	0.23668826	0.43951523
220	peat	0.41523182	0.17004688	0.4147213
221	soils	0.4106487	0.16962121	0.41973004
222	reduction	0.32407942	0.22901738	0.4469032
223	soil	0.4064169	0.1774934	0.4160897
224	quality	0.3520828	0.15048896	0.49742824
225	invasive	0.42434242	0.16566463	0.40999293
226	species	0.42225996	0.16475293	0.41298708
227	taking	0.33805016	0.17790186	0.484048
228	hold	0.29393655	0.15938981	0.54667366
229	grow	0.30147365	0.1980835	0.5004429
230	new	0.30907872	0.20011619	0.49080515
231	crops	0.3829294	0.21287526	0.40419534
232	others	0.39825892	0.15985477	0.44188628
233	moredifferent	0.40691593	0.16379213	0.42929202
234	pests	0.41986522	0.16537696	0.41475785
235	diseases	0.4094763	0.16576575	0.42475796
236	business	0.34315485	0.14456463	0.5122805
237	supply	0.3936973	0.20023449	0.40606824
238	chains	0.41899437	0.16112089	0.4198847
239	markets	0.40628126	0.20295882	0.39075994
240	consumer	0.33535343	0.2287215	0.435925
241	financialinsurance	0.40680635	0.16706106	0.42613256
242	financial	0.29736596	0.18011262	0.52252144
243	products	0.34071153	0.20848629	0.45080224
244	required	0.32673568	0.2312112	0.44205308
245	manage	0.41771185	0.17052968	0.41175845
246	risks	0.41775623	0.16500074	0.41724297
247	insurance	0.40169546	0.1593443	0.43896028
248	claims	0.40570125	0.15297043	0.44132838
249	premiums	0.37808436	0.14560571	0.4763099
250	result	0.41476947	0.16717269	0.41805783
251	leisure	0.42563802	0.17113662	0.40322533
252	outdoor	0.4037844	0.17510204	0.42111358
253	sports	0.33016613	0.150384	0.5194499
254	green	0.398147	0.20882094	0.39303207
255	space	0.31837103	0.19848512	0.48314384
256	case	0.35842052	0.16471839	0.47686106
257	study	0.31164187	0.1799141	0.508444
258	jeskyns	0.41745538	0.16467038	0.41787425
259	situated	0.3774479	0.21668419	0.4058679
260	gravesend	0.40344304	0.16636905	0.43018794
261	cobham	0.40580243	0.16477694	0.4294207
262	north	0.32234085	0.20747934	0.47017983
263	kent	0.39501274	0.15952419	0.4454631
264	acres	0.3967462	0.17778407	0.4254698
265	hectares	0.4198547	0.16965029	0.41049504
266	greenspace	0.40450218	0.16731122	0.42818666
267	created	0.29360506	0.16651964	0.5398753
268	forestry	0.41932434	0.16940112	0.41127446
269	commision	0.4014233	0.16735509	0.4312216
270	set	0.3095881	0.21448919	0.47592264
271	woodland	0.40916064	0.18459524	0.40624416
272	planted	0.4126589	0.1749678	0.41237333
273	trees	0.35926026	0.22787954	0.4128602
274	two	0.30836797	0.16833405	0.52329797
275	area	0.29936388	0.1858276	0.51480854
276	native	0.42696452	0.16295055	0.4100849
277	other	0.3520848	0.18693446	0.4609807
278	containing	0.32279995	0.22509071	0.45210937
279	different	0.31777588	0.198147	0.48407716
280	mix	0.32399184	0.23127055	0.4447376
281	resilient	0.42382634	0.16292506	0.4132487
282	climates	0.41090924	0.1697478	0.419343
283	augmented	0.33266425	0.15300933	0.5143264
284	small	0.28372708	0.21097979	0.50529313
285	proportion	0.3014054	0.1521797	0.5464149
286	non	0.33794695	0.1891177	0.47293526
287	aim	0.32265362	0.1495459	0.5278005
288	create	0.30872485	0.15399167	0.5372835
289	diverse	0.33103162	0.17640546	0.492563
290	which	0.31150618	0.20851067	0.4799831
291	able	0.30968475	0.16570242	0.52461284
292	adapt	0.42390049	0.16426083	0.41183868
293	predicted	0.40616164	0.1835993	0.41023913
294	does	0.2959688	0.19891569	0.5051155
295	not	0.3073342	0.16781051	0.5248553
296	nature	0.41472554	0.163585	0.42168948
297	landscape	0.3981043	0.18709092	0.41480476
298	habitats	0.42079997	0.16490744	0.4142926
299	familiar	0.31217563	0.16216883	0.52565557
300	british	0.31440914	0.15577848	0.5298124
301	butterflies	0.40389284	0.17274447	0.42336267
302	birds	0.28716424	0.15464658	0.55818915
303	insects	0.41439798	0.16524053	0.4203615
304	what	0.29172224	0.1621737	0.546104
305	adapting	0.43084574	0.1620783	0.4070759
306	need	0.4000053	0.18869424	0.41130048
307	way	0.28406438	0.21191917	0.5040164
308	things	0.2885755	0.16653168	0.54489285
309	order	0.4083148	0.17779589	0.41388932
310	respond	0.41132376	0.1600504	0.4286258
311	circumstances	0.32078373	0.15651557	0.5227007
312	presented	0.39534056	0.16319044	0.44146907
313	protecting	0.40452796	0.18482016	0.4106519
314	threats	0.4100647	0.1685238	0.42141145
315	should	0.28523007	0.16055441	0.5542155
316	enhance	0.3844035	0.15052578	0.46507078
317	ability	0.37223905	0.14906704	0.47869396
318	optimise	0.28869802	0.17348114	0.5378209
319	adaptation	0.427511	0.16159855	0.41089046
320	distinct	0.32357565	0.16003458	0.5163897
321	mitigation	0.40669242	0.18369803	0.4096096
322	yet	0.40382	0.18747862	0.40870133
323	needed	0.39066333	0.19715971	0.412177
324	meet	0.32094666	0.23475343	0.44429997
325	long	0.3829797	0.15832755	0.45869276
326	term	0.3910882	0.1747051	0.43420672
327	challenge	0.29037333	0.1599345	0.5496922
328	strong	0.29295853	0.20518348	0.501858
329	early	0.29674885	0.17058846	0.53266263
330	physical	0.36924607	0.15475884	0.47599515
331	limits	0.29525506	0.16646475	0.5382802
332	costs	0.32246092	0.22943899	0.44810006
333	rapidly	0.28891927	0.15232332	0.55875736
334	addition	0.31779432	0.23018374	0.4520219
335	success	0.31101042	0.15580694	0.5331826
336	counter	0.30672377	0.15484054	0.5384357
337	productive	0.38453352	0.14936301	0.46610337
338	greater	0.30176118	0.17992054	0.5183183
339	use	0.32521194	0.21568505	0.45910305
340	mechanical	0.2925308	0.15705018	0.55041903
341	air	0.3798141	0.21452513	0.40566078
342	conditioning	0.41081774	0.18210672	0.40707558
343	powered	0.31766367	0.20918004	0.47315624
344	electricity	0.33683988	0.22611181	0.4370483
345	source	0.32647493	0.22975671	0.44376835
346	footprint	0.31728947	0.23674363	0.44596696
347	equally	0.29713508	0.20408635	0.49877852
348	efforts	0.3291377	0.18019903	0.49066323
349	developing	0.35008928	0.21239167	0.4375191
350	renewable	0.32413825	0.2382459	0.43761584
351	energy	0.32575622	0.23909813	0.43514565
352	sources	0.3194185	0.22402011	0.4565614
353	built	0.39414722	0.20591727	0.39993545
354	mind	0.30057842	0.1604231	0.53899854
355	therefore	0.3157682	0.20437115	0.4798607
356	essential	0.3056839	0.15468356	0.53963256
357	build	0.38462394	0.16679002	0.44858608
358	decision	0.35041267	0.14623784	0.5033495
359	making	0.32062835	0.15184878	0.52752286
360	now	0.30689692	0.2110822	0.4820208
361	government	0.31012937	0.22338395	0.46648657
362	third	0.3799787	0.14919458	0.47082675
363	sector	0.38296962	0.19986792	0.4171625
364	individuals	0.36529714	0.14892517	0.48577768
365	already	0.3173561	0.2095648	0.4730791
366	starting	0.33101937	0.15013547	0.51884514
367	wants	0.30395654	0.22698368	0.46905982
368	ensure	0.33690795	0.18063596	0.48245606
369	everyone	0.2933624	0.16841784	0.5382197
370	considering	0.38516715	0.20478155	0.4100513
371	cost	0.33086872	0.22953136	0.4395999
372	economic	0.32617366	0.14777213	0.52605414
373	social	0.32680804	0.15304074	0.52015126
374	environmental	0.385111	0.21794699	0.39694202
375	terms	0.30369136	0.15932001	0.53698856
376	associated	0.3990462	0.19881608	0.40213767
377	issues	0.3761109	0.19239694	0.43149206
378	require	0.35562572	0.20862892	0.43574542
379	responses	0.40372774	0.15919703	0.43707532
380	timescales	0.4215266	0.1618335	0.41663992
381	view	0.29053342	0.15938829	0.55007833
382	identifying	0.41269594	0.16309482	0.4242092
383	most	0.3376402	0.1677414	0.49461845
384	effective	0.33195534	0.22634403	0.44170064
385	forward	0.29815057	0.21099101	0.49085847
386	response	0.40965185	0.16733205	0.42301604
387	make	0.29225734	0.1952472	0.5124954
388	depend	0.35351166	0.22313252	0.4233558
389	when	0.33064944	0.16276906	0.50658154
390	impact	0.3806601	0.18068293	0.4386569
391	hits	0.3410397	0.1458017	0.5131586
392	appropriate	0.36343902	0.1444416	0.49211937
393	planning	0.4011989	0.18696252	0.41183856
394	horizon	0.42131317	0.16291709	0.41576976
395	investment	0.37622625	0.19997944	0.4237944
396	projects	0.32638896	0.2380273	0.43558377
397	assets	0.41474617	0.16367462	0.42157927
398	last	0.3041081	0.17518604	0.5207058
399	approach	0.31374738	0.17521377	0.5110389
400	year	0.30926186	0.18546104	0.50527716
401	wont	0.40407044	0.16021588	0.4357137
402	always	0.29440865	0.16072154	0.54486984
403	remove	0.28451374	0.1644887	0.55099756
404	completely	0.3567554	0.15064278	0.4926018
405	redhill	0.4197206	0.16365652	0.41662288
406	school	0.30393746	0.15858811	0.5374744
407	redevelopment	0.34462455	0.14769417	0.5076813
408	worcestershire	0.40392613	0.15979983	0.43627402
409	first	0.36695418	0.18678552	0.44626027
410	assessment	0.39739698	0.1792426	0.4233604
411	carried	0.2713094	0.19844513	0.5302455
412	start	0.28927782	0.18830082	0.52242136
413	design	0.33181477	0.23414578	0.43403947
414	process	0.37330607	0.1834872	0.44320676
415	million	0.36879846	0.19203089	0.4391707
416	project	0.3145835	0.23415177	0.45126468
417	involves	0.33339113	0.23425718	0.43235165
418	replacement	0.33814666	0.23352535	0.42832798
419	primary	0.32140234	0.15465954	0.52393806
420	site	0.32030687	0.24388666	0.43580648
421	former	0.31357366	0.16746572	0.5189606
422	building	0.39084956	0.20958619	0.39956427
423	aims	0.3631956	0.15019426	0.48661014
424	low	0.32766116	0.23194936	0.4403895
425	cope	0.39608657	0.19880956	0.4051039
426	maintain	0.40561333	0.17043892	0.42394772
427	comfortable	0.29755282	0.15653421	0.54591304
428	robust	0.39658996	0.19534549	0.40806448
429	teaching	0.3026025	0.15698813	0.5404094
430	lifetime	0.32244766	0.24022692	0.43732542
431	help	0.32629928	0.16865833	0.5050424
432	withstand	0.39628956	0.15713422	0.44657624
433	include	0.3938708	0.18796036	0.41816878
434	sustainable	0.3927364	0.2114566	0.39580697
435	drainage	0.40967605	0.17486562	0.4154583
436	scheme	0.33896366	0.23315868	0.42787763
437	using	0.31606868	0.20856163	0.47536972
438	swales	0.3996775	0.18174824	0.41857424
439	ponds	0.31964365	0.21795905	0.46239734
440	underground	0.40650773	0.1754598	0.4180324
441	shade	0.40767664	0.15785591	0.4344675
442	provided	0.31573093	0.21812117	0.46614787
443	overhanging	0.40110376	0.16404042	0.43485588
444	eaves	0.403337	0.1639816	0.43268135
445	external	0.38690317	0.21860245	0.3944944
446	canopies	0.403135	0.1646669	0.43219805
447	classrooms	0.3943782	0.16114692	0.44447488
448	roof	0.3312118	0.2350727	0.43371552
449	coverings	0.40249732	0.16312014	0.43438253
450	zinc	0.41000906	0.1612042	0.42878675
451	sheet	0.3693413	0.21902765	0.41163102
452	standing	0.2874237	0.17034677	0.5422295
453	seams	0.35967112	0.14812036	0.49220854
454	vulnerable	0.40986055	0.18022878	0.40991065
455	winds	0.42087328	0.16281492	0.41631177
456	roofing	0.39574006	0.19041322	0.4138467
457	tiles	0.37614825	0.20363076	0.4202209
458	difficult	0.35724506	0.15325893	0.48949602
459	inevitable	0.38555443	0.16663863	0.44780704
460	uncertainty	0.37481964	0.22055571	0.4046247
461	cannot	0.32941923	0.21636896	0.45421174
462	show	0.39710936	0.19009836	0.41279224
463	plausible	0.42734239	0.16003734	0.41262022
464	futures	0.3281279	0.23080602	0.441066
465	predict	0.37183908	0.2087843	0.41937658
466	exactly	0.30725262	0.19242628	0.5003211
467	happen	0.27159956	0.17058128	0.5578192
468	understanding	0.40356642	0.16184254	0.4345911
469	happening	0.3007867	0.17576803	0.52344525
470	relation	0.35670087	0.15147078	0.49182838
471	important	0.3865095	0.16856794	0.4449226
472	lives	0.29965243	0.15592603	0.5444216
473	population	0.35308433	0.14663038	0.50028527
474	technology	0.30951467	0.2211257	0.46935967
475	develop	0.3468864	0.1641192	0.4889944
476	continually	0.36943814	0.1586501	0.4719117
477	revisit	0.38636363	0.16712084	0.4465155
478	review	0.37072432	0.16173388	0.46754187
479	decisions	0.39152437	0.17546022	0.4330155
480	vulnerability	0.42318627	0.16276474	0.414049
481	resilience	0.4240336	0.16156113	0.41440523
482	defined	0.34403366	0.2365178	0.41944852
483	being	0.3851277	0.15360226	0.4612701
484	open	0.3138888	0.14985499	0.53625625
485	relates	0.35619262	0.19209242	0.45171502
486	characteristics	0.29826885	0.16577956	0.5359517
487	object	0.38344124	0.1834182	0.4331406
488	receiving	0.2842447	0.19492139	0.52083397
489	end	0.2783674	0.1962076	0.525425
490	receptor	0.4093452	0.16617088	0.4244839
491	adversely	0.3784134	0.17604804	0.44553855
492	affected	0.4107102	0.16215663	0.42713314
493	very	0.28636026	0.17824705	0.53539264
494	cause	0.31737718	0.14886843	0.53375435
495	road	0.29351497	0.15055156	0.5559334
496	surfaces	0.34909567	0.22898416	0.42192015
497	melting	0.32945636	0.23154041	0.43900317
498	point	0.30726913	0.21848477	0.47424603
499	material	0.3065603	0.2231534	0.47028625
500	exposed	0.40212524	0.16133308	0.4365417
501	mostly	0.40094256	0.19251068	0.40654677
502	roadside	0.29180422	0.15305525	0.55514055
503	significance	0.36204755	0.1424733	0.49547917
